be180;121;1;2020-02-01;180;1;70000;70000
be181;122;2;2020-02-02;181;2;100000;200000
ke182;123;3;2020-02-03;182;3;45000;135000
em183;124;4;2020-02-04;183;3;20000;60000
ti184;125;5;2020-02-05;184;3;12000;36000
lo185;126;6;2020-02-06;185;4;11000;44000
ter186;127;7;2020-02-07;186;4;13000;52000
sek187;128;8;2020-02-08;187;5;50000;250000
rua188;129;9;2020-02-09;188;4;1700000;6800000
rt189;130;10;2020-02-10;189;3;110000;330000
cok190;131;10;2020-02-11;190;2;300000;600000
kam191;131;10;2020-02-12;191;2;50000;100000
rk192;131;10;2020-02-13;192;3;87000;261000
dap193;131;10;2020-02-14;193;3;67000;201000
km194;131;10;2020-02-15;194;4;45900;183600
din195;131;10;2020-02-16;195;3;2000000;6000000
can196;131;10;2020-02-17;196;3;34000;102000
ar197;131;10;2020-02-18;197;4;56000;224000
pan198;131;10;2020-02-19;198;4;87000;348000
kac199;131;10;2020-02-20;199;5;765000;3825000
hal200;141;17;2020-02-21;200;3;877000;2631000
ang201;142;22;2020-02-22;201;3;980000;2940000
lic202;143;23;2020-02-23;202;1;940000;940000
ber203;144;24;2020-02-24;203;2;780000;1560000
lan204;145;25;2020-02-25;204;2;870000;1740000
ika205;146;26;2020-02-26;205;33;979000;32307000
js206;147;27;2020-02-27;206;3;986000;2958000
kor207;148;28;2020-02-28;207;3;123000;369000
rti208;149;29;2020-02-29;208;3;600000;1800000
per209;150;30;2020-03-01;209;3;40000;120000
